naam;count
Afwijkende watergreppel;2
Dwarse markering;2
Ecoduct;1
Fietstelinstallatie;88
Flitsinstallatiegroep;230
Geleideconstructie;730
Gestandaardiseerde watergreppel;1
HS-cabine;3
Invasieve exoten;69
Kabelgoot;5
MIV-installatie;1056
MIV-lus;4
Meetstation;4
Niet-selectieve detectielus;85
Obstakelbeveiliger;87
Pompstation;1
Seinbrug;2
Slagboom installatie;1
Trajectcontrole;2
Weegsensor;4
